"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"result.1",0.8,1,0.701646415445623,0.72,0.375,0.0885879567828298,0.64,0.875,0.44160885674196,0.84,0.75,0.550177836861785,0.84,0.75,0.550177836861785,0.64,0.625,0.229784141923892
"result.2",0.56,0.75,0.265822806970889,0.36,0.875,0.219138629936474,0.52,0.875,0.342508437962027,0.8,0.75,0.5,0.76,0.75,0.454344111251122,0.64,0.5,0.122788122702984
"result.3",0.72,0.75,0.412217269074304,0.64,0.75,0.33565855667131,0.64,0.75,0.33565855667131,0.84,0.5,0.34,0.84,0.5,0.34,0.72,0.5,0.2
"result.4",0.72,0.5,0.2,0.68,0.375,0.05,0.68,0.75,0.372857286895372,0.92,0.375,0.352592439753646,0.92,0.5,0.466666666666667,0.6,0.5,0.086710996952412
"result.5",0.76,0.625,0.35,0.64,0.625,0.229784141923892,0.6,0.75,0.30012252399939,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.52,0.5,0.0171498585142509
"result.6",0.76,0.75,0.454344111251122,0.64,0.375,0.0133630620956212,0.72,0.875,0.515930431866851,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.68,0.625,0.267502695888644
"result.7",0.84,0.625,0.44744645862196,0.48,0.625,0.0903696114115064,0.8,0.5,0.288675134594813,0.84,0.25,0.1,0.88,0.25,0.155379719213471,0.8,0.75,0.5
"result.8",0.64,0.625,0.229784141923892,0.44,0.5,-0.0516397779494322,0.56,0.375,-0.0563621480190678,0.88,0.5,0.398348237954329,0.88,0.625,0.505,0.52,0.75,0.232379000772445
"result.9",0.84,0.625,0.44744645862196,0.6,0.375,-0.0219264504826757,0.84,0.625,0.44744645862196,0.88,0.375,0.283333333333333,0.88,0.375,0.283333333333333,0.76,0.75,0.454344111251122
"result.10",0.68,0.5,0.160356745147455,0.56,0.5,0.0516397779494322,0.72,0.625,0.307350428199288,0.76,0.375,0.129903810567666,0.76,0.375,0.129903810567666,0.72,0.625,0.307350428199288
"result.11",0.8,0.5,0.288675134594813,0.76,0.375,0.129903810567666,0.72,0.75,0.412217269074304,1,0.375,0.559016994374947,1,0.375,0.559016994374947,0.64,0.625,0.229784141923892
"result.12",0.72,0.5,0.2,0.64,0.625,0.229784141923892,0.6,0.625,0.193649167310371,0.88,0.75,0.606217782649107,0.88,0.875,0.704041130221437,0.52,0.875,0.342508437962027
"result.13",0.64,0.625,0.229784141923892,0.52,0.5,0.0171498585142509,0.52,0.875,0.342508437962027,0.8,0.625,0.396314543502133,0.8,0.75,0.5,0.48,0.75,0.199435292990548
"result.14",0.8,0.75,0.5,0.56,0.5,0.0516397779494322,0.64,0.625,0.229784141923892,0.92,0.375,0.352592439753646,0.92,0.5,0.466666666666667,0.6,0.5,0.086710996952412
"result.15",0.76,0.75,0.454344111251122,0.72,0.5,0.2,0.68,0.875,0.477667946032248,0.68,0.625,0.267502695888644,0.68,0.875,0.477667946032248,0.8,0.625,0.396314543502133
